transaction_id,client_id,symbol,trade_date,quantity,price,side
T0001,C009,TLT,2026-01-15,984,97.07,BUY
T0002,C005,GS,2026-01-09,57,411.41,BUY
T0003,C008,TLT,2026-01-05,917,94.34,BUY
T0004,C007,GOOGL,2026-01-19,681,146.18,BUY
T0005,C002,AMZN,2026-01-12,990,167.98,SELL
T0006,C001,SPY,2026-01-12,134,561.23,SELL
T0007,C003,GOOGL,2026-01-30,582,161.93,SELL
T0008,C008,TLT,2026-01-23,938,97.5,SELL
T0009,C003,GOOGL,2026-01-21,263,146.37,SELL
T0010,C009,GOOGL,2026-01-29,460,156.06,BUY
T0011,C005,GS,2026-01-13,924,418.58,BUY
T0012,C003,JPM,2026-01-12,166,169.23,BUY
T0013,C002,AMZN,2026-01-20,487,169.42,SELL
T0014,C001,GS,2026-01-20,798,437.23,BUY
T0015,C010,AMZN,2026-01-22,370,168.62,SELL
T0016,C007,AMZN,2026-01-26,569,166.56,BUY
T0017,C008,GS,2026-01-13,39,420.27,SELL
T0018,C006,AMZN,2026-01-08,951,176.87,BUY
T0019,C010,SPY,2026-01-01,616,540.03,BUY
T0020,C002,AMZN,2026-01-07,196,179.87,BUY
T0021,C005,AMZN,2026-01-15,344,168.51,SELL
T0022,C007,TSLA,2026-01-20,93,222.39,SELL
T0023,C001,SPY,2026-01-02,368,554.41,BUY
T0024,C002,AAPL,2026-01-01,214,189.91,BUY
T0025,C010,JPM,2026-01-12,695,167.49,BUY
T0026,C010,GS,2026-01-21,795,433.78,SELL
T0027,C003,TLT,2026-01-28,745,101.08,BUY
T0028,C003,TSLA,2026-01-06,961,219.57,SELL
T0029,C010,AMZN,2026-01-19,213,174.96,BUY
T0030,C010,GS,2026-01-06,318,409.61,BUY
T0031,C010,AAPL,2026-01-16,687,176.14,SELL
T0032,C002,SPY,2026-01-29,879,477.94,SELL
T0033,C008,MSFT,2026-01-20,660,395.82,SELL
T0034,C003,AMZN,2026-01-08,998,176.12,SELL
T0035,C010,SPY,2026-01-22,855,522.42,SELL
T0036,C006,GS,2026-01-05,471,405.88,BUY
T0037,C008,TLT,2026-01-28,354,99.91,BUY
T0038,C008,NVDA,2026-01-08,373,895.99,SELL
T0039,C006,TSLA,2026-01-28,292,228.72,BUY
T0040,C009,GS,2026-01-05,426,405.26,SELL
T0041,C009,GS,2026-01-22,512,442.54,SELL
T0042,C001,MSFT,2026-01-14,718,403.71,BUY
T0043,C005,TLT,2026-01-16,553,98.09,SELL
T0044,C007,SPY,2026-01-15,474,525.11,SELL
T0045,C005,TSLA,2026-01-12,207,219.02,SELL
T0046,C002,SPY,2026-01-08,766,537.51,SELL
T0047,C005,TLT,2026-01-23,112,98.17,BUY
T0048,C005,GS,2026-01-16,24,422.68,BUY
T0049,C005,AAPL,2026-01-02,724,189.65,BUY
T0050,C008,MSFT,2026-01-01,490,413.12,SELL
T0051,C008,NVDA,2026-01-08,268,913.13,SELL
T0052,C002,MSFT,2026-01-19,600,395.18,BUY
T0053,C003,JPM,2026-01-27,97,174.89,BUY
T0054,C002,SPY,2026-01-20,819,533.97,BUY
T0055,C009,AMZN,2026-01-21,314,172.72,SELL
T0056,C005,TLT,2026-01-28,993,97.49,BUY
T0057,C004,GS,2026-01-13,170,424.05,BUY
T0058,C003,SPY,2026-01-05,428,525.76,SELL
T0059,C010,GOOGL,2026-01-14,305,147.77,SELL
T0060,C008,MSFT,2026-01-30,280,396.7,BUY
T0061,C007,MSFT,2026-01-26,162,387.5,SELL
T0062,C003,MSFT,2026-01-02,324,395.33,SELL
T0063,C008,MSFT,2026-01-21,726,399.65,SELL
T0064,C005,SPY,2026-01-26,92,501.11,BUY
T0065,C007,NVDA,2026-01-28,103,754.97,BUY
T0066,C010,TLT,2026-01-01,698,95.09,SELL
T0067,C010,AAPL,2026-01-08,677,178.06,SELL
T0068,C005,JPM,2026-01-27,843,171.36,SELL
T0069,C002,GOOGL,2026-01-16,338,146.75,BUY
T0070,C003,NVDA,2026-01-20,305,873.01,SELL
T0071,C009,AAPL,2026-01-21,268,177.48,SELL
T0072,C002,AMZN,2026-01-23,11,169.11,SELL
T0073,C007,AAPL,2026-01-09,647,175.39,SELL
T0074,C008,AAPL,2026-01-09,144,173.63,SELL
T0075,C008,GOOGL,2026-01-06,655,154.49,BUY
T0076,C003,TSLA,2026-01-26,427,225.4,BUY
T0077,C004,MSFT,2026-01-21,673,403.75,BUY
T0078,C008,TSLA,2026-01-23,435,227.66,SELL
T0079,C008,GS,2026-01-21,402,431.23,BUY
T0080,C010,SPY,2026-01-07,292,559.98,SELL
T0081,C006,SPY,2026-01-13,299,549.01,SELL
T0082,C010,TLT,2026-01-30,162,99.98,SELL
T0083,C009,GOOGL,2026-01-16,791,146.3,SELL
T0084,C008,NVDA,2026-01-09,254,935.75,SELL
T0085,C004,AMZN,2026-01-02,494,177.23,SELL
T0086,C007,JPM,2026-01-22,139,180.22,SELL
T0087,C002,GOOGL,2026-01-06,477,157.62,BUY
T0088,C003,AMZN,2026-01-29,86,172.49,SELL
T0089,C005,NVDA,2026-01-28,675,768.46,BUY
T0090,C006,SPY,2026-01-19,651,546.25,SELL
T0091,C009,AAPL,2026-01-28,656,168.42,SELL
T0092,C004,MSFT,2026-01-20,788,396.1,BUY
T0093,C008,JPM,2026-01-14,57,172.14,SELL
T0094,C001,TSLA,2026-01-16,159,222.4,BUY
T0095,C009,AMZN,2026-01-27,194,170.5,BUY
T0096,C003,MSFT,2026-01-28,644,416.68,BUY
T0097,C008,TLT,2026-01-07,663,93.77,SELL
T0098,C008,TSLA,2026-01-30,833,220.9,SELL
T0099,C005,SPY,2026-01-08,977,534.94,SELL
T0100,C010,TSLA,2026-01-29,716,230.0,SELL
T0101,C008,TSLA,2026-01-09,883,224.56,SELL
T0102,C002,GS,2026-01-19,598,436.25,SELL
T0103,C005,AAPL,2026-01-30,18,169.64,BUY
T0104,C010,GOOGL,2026-01-14,245,152.25,SELL
T0105,C004,GS,2026-01-28,783,474.07,BUY
T0106,C002,AAPL,2026-01-14,44,174.29,SELL
T0107,C003,MSFT,2026-01-14,435,405.43,BUY
T0108,C004,JPM,2026-01-26,384,178.04,SELL
T0109,C003,TSLA,2026-01-22,312,236.25,SELL
T0110,C002,GOOGL,2026-01-05,999,151.51,BUY
T0111,C007,SPY,2026-01-16,414,516.42,BUY
T0112,C005,SPY,2026-01-06,698,541.13,SELL
T0113,C010,AMZN,2026-01-29,120,172.29,BUY
T0114,C008,AAPL,2026-01-28,584,174.01,SELL
T0115,C010,GS,2026-01-29,853,468.73,SELL
T0116,C005,AMZN,2026-01-06,978,177.87,BUY
T0117,C005,GOOGL,2026-01-06,918,154.92,BUY
T0118,C007,GOOGL,2026-01-16,770,148.29,SELL
T0119,C010,JPM,2026-01-20,863,174.22,SELL
T0120,C010,AMZN,2026-01-13,389,162.09,BUY
T0121,C008,GOOGL,2026-01-12,111,155.41,SELL
T0122,C009,NVDA,2026-01-02,204,871.72,BUY
T0123,C008,MSFT,2026-01-30,664,396.36,BUY
T0124,C001,NVDA,2026-01-12,815,929.24,BUY
T0125,C002,SPY,2026-01-09,842,542.25,BUY
T0126,C006,JPM,2026-01-28,889,172.97,BUY
T0127,C003,SPY,2026-01-13,122,548.53,BUY
T0128,C003,AAPL,2026-01-16,253,177.95,SELL
T0129,C001,JPM,2026-01-13,769,163.51,SELL
T0130,C009,MSFT,2026-01-05,806,406.85,SELL
T0131,C009,TLT,2026-01-06,236,95.39,BUY
T0132,C009,TSLA,2026-01-21,41,230.84,BUY
T0133,C008,AMZN,2026-01-20,512,171.84,SELL
T0134,C002,MSFT,2026-01-15,77,410.87,BUY
T0135,C005,TLT,2026-01-29,739,99.42,SELL
T0136,C007,TLT,2026-01-23,527,96.99,SELL
T0137,C002,MSFT,2026-01-29,797,405.95,BUY
T0138,C007,GOOGL,2026-01-12,857,152.7,SELL
T0139,C007,AMZN,2026-01-06,330,179.12,SELL
T0140,C006,JPM,2026-01-30,78,184.63,BUY
T0141,C002,MSFT,2026-01-20,766,382.39,SELL
T0142,C003,SPY,2026-01-02,585,545.42,SELL
T0143,C002,AMZN,2026-01-16,973,170.59,SELL
T0144,C001,TSLA,2026-01-28,116,225.19,BUY
T0145,C003,GOOGL,2026-01-12,368,155.36,SELL
T0146,C002,TSLA,2026-01-27,449,223.92,BUY
T0147,C010,TSLA,2026-01-01,729,233.02,SELL
T0148,C006,NVDA,2026-01-01,156,885.5,SELL
T0149,C002,JPM,2026-01-29,103,184.9,BUY
T0150,C007,AMZN,2026-01-21,388,168.86,SELL
T0151,C006,TLT,2026-01-28,63,97.59,BUY
T0152,C003,TLT,2026-01-02,288,95.06,SELL
T0153,C007,GOOGL,2026-01-28,289,152.98,BUY
T0154,C009,MSFT,2026-01-16,300,399.72,SELL
T0155,C009,TSLA,2026-01-02,623,226.7,BUY
T0156,C001,GS,2026-01-14,795,438.59,BUY
T0157,C005,TSLA,2026-01-15,519,224.29,SELL
T0158,C003,JPM,2026-01-19,245,169.7,SELL
T0159,C002,AMZN,2026-01-02,480,178.07,BUY
T0160,C006,TLT,2026-01-20,736,100.22,SELL
T0161,C005,MSFT,2026-01-19,342,387.73,BUY
T0162,C010,GOOGL,2026-01-16,874,144.86,BUY
T0163,C004,AMZN,2026-01-27,90,168.6,SELL
T0164,C005,NVDA,2026-01-12,182,905.33,BUY
T0165,C009,MSFT,2026-01-23,937,397.51,SELL
T0166,C006,JPM,2026-01-12,272,167.33,BUY
T0167,C003,TLT,2026-01-07,681,95.78,BUY
T0168,C003,GOOGL,2026-01-21,788,149.29,SELL
T0169,C010,TLT,2026-01-15,652,100.11,SELL
T0170,C003,GOOGL,2026-01-05,656,153.53,SELL
T0171,C005,TLT,2026-01-02,85,93.84,SELL
T0172,C008,GOOGL,2026-01-02,861,150.95,SELL
T0173,C002,MSFT,2026-01-28,403,412.14,SELL
T0174,C010,SPY,2026-01-02,839,542.45,BUY
T0175,C006,TLT,2026-01-22,990,98.21,BUY
T0176,C008,MSFT,2026-01-15,96,416.99,BUY
T0177,C001,GS,2026-01-21,546,438.8,BUY
T0178,C006,NVDA,2026-01-14,803,883.01,SELL
T0179,C010,AAPL,2026-01-29,77,168.03,SELL
T0180,C002,SPY,2026-01-30,268,467.77,BUY
T0181,C006,MSFT,2026-01-27,948,404.15,SELL
T0182,C005,AMZN,2026-01-07,970,177.94,BUY
T0183,C005,SPY,2026-01-19,346,539.58,BUY
T0184,C009,MSFT,2026-01-29,530,406.26,SELL
T0185,C001,NVDA,2026-01-14,229,875.66,SELL
T0186,C008,GS,2026-01-12,168,436.6,BUY
T0187,C005,MSFT,2026-01-23,865,401.66,BUY
T0188,C006,TLT,2026-01-07,167,95.16,BUY
T0189,C003,TLT,2026-01-08,54,98.2,SELL
T0190,C006,GS,2026-01-21,780,432.25,SELL
T0191,C004,SPY,2026-01-12,838,547.8,SELL
T0192,C004,NVDA,2026-01-30,461,779.85,SELL
T0193,C005,AMZN,2026-01-23,999,167.12,BUY
T0194,C004,TLT,2026-01-07,63,96.2,SELL
T0195,C006,SPY,2026-01-06,538,546.69,BUY
T0196,C005,MSFT,2026-01-08,937,412.51,BUY
T0197,C007,MSFT,2026-01-12,915,405.83,SELL
T0198,C001,AMZN,2026-01-02,392,177.79,BUY
T0199,C007,MSFT,2026-01-16,336,396.42,BUY
T0200,C006,JPM,2026-01-07,949,159.51,SELL
T0201,C001,AAPL,2026-01-10,-50,185.4,BUY
T0202,,MSFT,2026-01-11,100,410.2,BUY
T0203,C003,UNKNOWN,2026-01-12,200,50.0,BUY
T0204,C004,JPM,2026-01-13,120,-170.0,SELL
T0001,C001,AAPL,2026-01-02,100,185.5,BUY
